"rfid","project_name","dames","sires"
"0007899771","p50_hao_chen_2014","00077E9E72","00077E7B77"
"0007899931","p50_hao_chen_2014","00077E9DE8","00077E9275"
"0007899868","p50_hao_chen_2014","00077E919B","00077E8A7D"
"0007899825","p50_hao_chen_2014","00077E9490","00077E8FFC"
"0007899897","p50_hao_chen_2014","00077E84EF","00077E8BA6"
"00077E99F4","p50_hao_chen_2014","HSF02519","HSM02528B"
"0007D2CD05","p50_hao_chen_2014","00077E93C6","00077E7AC5"
"00077E8FAC","p50_hao_chen_2014","HSF02532","HSM02561"
"0007D60ADB","p50_hao_chen_2014","00077E8FAC","00077E9391"
"00077E92A7","p50_hao_chen_2014","HSF02654","HSM02602"
"00077E8B25","p50_hao_chen_2014","HSF02427","HSM02433"
"00077E784F","p50_hao_chen_2014","HSF02253","HSM02226"
"0007D60F60","p50_hao_chen_2014","00077E83F8","00077E9370"
"00077E8481","p50_hao_chen_2014","HSF02338","HSM02353"
"000792A3EF","p50_hao_chen_2014","00077E91EE","00077E8DEE"
"00077E7AC5","p50_hao_chen_2014","HSF02616","HSM02628"
"0007D2D146","p50_hao_chen_2014","00077E8978","00077E8410"
"0007D2DFF4","p50_hao_chen_2014","00077E8978","00077E8410"
"00077E9275","p50_hao_chen_2014","HSF02104","HSM02135"
"00077E9E72","p50_hao_chen_2014","HSF02448","HSM02428"
"000792A6B3","p50_hao_chen_2014","00077E8C05","00077E91A4"
"00077E922E","p50_hao_chen_2014","HSF02329","HSM02319"
"0007D48080","p50_hao_chen_2014","00077E99F4","00077E92A7"
"00079FFEA7","p50_hao_chen_2014","00077E784F","00077E9152"
"000792A09B","p50_hao_chen_2014","00077E8DB1","00077E7C0F"
"00077E828B","p50_hao_chen_2014","HSF02306","HSM02323"
"00077E920D","p50_hao_chen_2014","HSF02403","HSM02451"
"00077E9152","p50_hao_chen_2014","HSF02256","HSM02206"
"00077E9B87","p50_hao_chen_2014","HSF02449","HSM02429"
"0007929A91","p50_hao_chen_2014","00077E922E","00077E84C8"
"000792A25F","p50_hao_chen_2014","00077EA00B","00077E8288"
"00077E7B77","p50_hao_chen_2014","HSF02416","HSM02424"
"0007D60B77","p50_hao_chen_2014","00077E83F8","00077E9370"
"000792A29D","p50_hao_chen_2014","00077E9B87","00077E9059"
"00077EA00B","p50_hao_chen_2014","HSF02326","HSM02342"
"00077E9DE8","p50_hao_chen_2014","HSF02120B","HSM02107B"
"000792A0FB","p50_hao_chen_2014","00077E9968","00077E9086"
"00079FD00D","p50_hao_chen_2014","00077E8DB1","00077E7C0F"
"00077E9490","p50_hao_chen_2014","HSF02307B","HSM02302"
"0007A01406","p50_hao_chen_2014","00077E919B","00077E8A7D"
"00077E93C6","p50_hao_chen_2014","HSF02609","HSM02614"
"00077E909A","p50_hao_chen_2014","HSF02354","HSM02362"
"0007D30D95","p50_hao_chen_2014","00077E8AE2","00077E89DE"
"00077E7C0F","p50_hao_chen_2014","HSF02432B","HSM02449"
"0007D60648","p50_hao_chen_2014","00077E93C6","00077E7AC5"
"00078997D8","p50_hao_chen_2014","00077E84EF","00077E8BA6"
"00077E91A4","p50_hao_chen_2014","HSF02128","HSM02133"
"000792A322","p50_hao_chen_2014","00077E9490","00077E8FFC"
"000792A3A6","p50_hao_chen_2014","00077E91EE","00077E8DEE"
"000792A2A4","p50_hao_chen_2014","00077E9BF2","00077E909A"
"00077E8978","p50_hao_chen_2014","HSF02629","HSM02661"
"00077E9968","p50_hao_chen_2014","HSF02537","HSM02523"
"00077E8F53","p50_hao_chen_2014","HSF02237","HSM02255"
"00077E8410","p50_hao_chen_2014","HSF02411","HSM02418"
"0007929A41","p50_hao_chen_2014","00077E9E2F","00077E8F53"
"0007D3D938","p50_hao_chen_2014","00077E99F4","00077E92A7"
"000792A5ED","p50_hao_chen_2014","00077E784F","00077E9152"
"00077E9BF2","p50_hao_chen_2014","HSF02441","HSM02452"
"000792A2B8","p50_hao_chen_2014","00077E9E72","00077E7B77"
"00077E91EE","p50_hao_chen_2014","HSF02251","HSM02236"
"00077E8DB1","p50_hao_chen_2014","HSF02434","HSM02436"
"00077E8288","p50_hao_chen_2014","HSF02201","HSM02204"
"000792A33F","p50_hao_chen_2014","00077E9B87","00077E9059"
"00077E8A7D","p50_hao_chen_2014","HSF02330","HSM02340"
"0007D60399","p50_hao_chen_2014","00077E8FAC","00077E9391"
"00077E9391","p50_hao_chen_2014","HSF02444","HSM02414"
"000789993E","p50_hao_chen_2014","00077E828B","00077E8481"
"00077E9086","p50_hao_chen_2014","HSF02447","HSM02404"
"000792A393","p50_hao_chen_2014","00077E920D","00077E8B25"
"00077E919B","p50_hao_chen_2014","HSF02219","HSM02235"
"00078996AC","p50_hao_chen_2014","00077E9968","00077E9086"
"0007D610E9","p50_hao_chen_2014","00077E9095","00077E7C6D"
"00077E84C8","p50_hao_chen_2014","HSF02340","HSM02325"
"00077E8AE2","p50_hao_chen_2014","HSF02661","HSM02627"
"00077E8C05","p50_hao_chen_2014","HSF02151","HSM02137"
"0007D3138C","p50_hao_chen_2014","00077E8AE2","00077E89DE"
"000792A5C9","p50_hao_chen_2014","00077E828B","00077E8481"
"00077E8DEE","p50_hao_chen_2014","HSF02304","HSM02301"
"00077E89DE","p50_hao_chen_2014","HSF02620","HSM02649"
"000792994E","p50_hao_chen_2014","00077E922E","00077E84C8"
"00077E9370","p50_hao_chen_2014","HSF02532","HSM02561"
"00077E8FFC","p50_hao_chen_2014","HSF02245","HSM02237"
"00077E84EF","p50_hao_chen_2014","HSF02440","HSM02435"
"00077E9E2F","p50_hao_chen_2014","HSF02319B","HSM02316"
"000792A347","p50_hao_chen_2014","00077E9E2F","00077E8F53"
"00077E7C6D","p50_hao_chen_2014","HSF02519","HSM02528B"
"0007A0153B","p50_hao_chen_2014","00077E9DE8","00077E9275"
"00077E9059","p50_hao_chen_2014","HSF02337","HSM02338"
"0007D601AF","p50_hao_chen_2014","00077E9095","00077E7C6D"
"00079FB269","p50_hao_chen_2014","00077E920D","00077E8B25"
"00078997E1","p50_hao_chen_2014","00077E9BF2","00077E909A"
"00077E83F8","p50_hao_chen_2014","HSF02428","HSM02430"
"00077E8BA6","p50_hao_chen_2014","HSF02329","HSM02319"
"000792A391","p50_hao_chen_2014","00077EA00B","00077E8288"
"00077E9095","p50_hao_chen_2014","HSF02501","HSM02531"
"00079FE64A","p50_hao_chen_2014","00077E8C05","00077E91A4"
"933000320046893","u01_suzanne_mitchell","73742_2","73785_1"
"933000320047799","u01_suzanne_mitchell","73232_2","73728_1"
"933000320047781","u01_suzanne_mitchell","73670_2","73209_1"
"933000320047233","u01_suzanne_mitchell","73382_2","73228_1"
"933000320045896","u01_suzanne_mitchell","73325_2","73342_2"
"933000320047758","u01_suzanne_mitchell","73993_1","73189_1"
"933000320047089","u01_suzanne_mitchell","73731_2","73783_1"
"933000320046898","u01_suzanne_mitchell","73504_4","73398_2"
"933000320047226","u01_suzanne_mitchell","73804_1","73439_2"
"933000320046900","u01_suzanne_mitchell","73719_2","73203_1"
"933000320046883","u01_suzanne_mitchell","73207_2","73768_1"
"933000320047229","u01_suzanne_mitchell","73382_2","73228_1"
"933000320046888","u01_suzanne_mitchell","73380_1","73203_1"
"933000320046058","u01_suzanne_mitchell","72632_2","72535_1"
"933000320046073","u01_suzanne_mitchell","72541_5","72689_1"
"933000320045924","u01_suzanne_mitchell","72775_4","72794_1"
"933000320045881","u01_suzanne_mitchell","72801_2","72793_3"
"933000320046064","u01_suzanne_mitchell","72539_2","72625_1"
"933000320046897","u01_suzanne_mitchell","73692_2","73671_1"
"933000320046264","u01_suzanne_mitchell","72663_2","72668_1"
"933000320047632","u01_suzanne_mitchell","73208_2","73192_1"
