"rfid","dames","sires"
"933000120138344","72244_3","72278_2"
"933000120117321","71838_3","71823_1"
"933000120117313","71821_2","71812_4"
"933000120138643","72380_2","72455_2"
"933000120138346","71812_5","71865_2"
"933000120138354","71812_5","71865_2"
"933000120124697","71795_3","71794_2"
"933000120117329","71799_3","71836_2"
"933000120117342","71823_2","71796_4"
"933000120138578","72409_1","72404_2"
"933000120138348","71828_3","71837_2"
"933000320046394","72793_4","72779_1"
"933000120138559","72333_2","72503_1"
"933000120138632","72380_2","72455_2"
"933000120138293","72258_2","72210_1"
"933000120138569","72333_2","72503_1"
"933000120138558","72464_1","72340_2"
"933000120138351","71828_3","71837_2"
"933000120117332","71839_3","71828_2"
"933000120117307","71836_3","71820_2"
"933000120138304","72220_3","72276_2"
"933000120138394","72319_2","72454_2"
"933000120138403","72397_2","72336_1"
"933000120138400","72319_2","72454_2"
"933000120138336","71829_3","71839_2"
"933000120138398","72339_1","72393_1"
"933000120117324","71804_3","71822_2"
"933000120138321","71834_3","71832_2"
"933000120138645","72414_1","72397_1"
"933000120138332","72245_3","72213_3"
"933000120138343","71812_5","71865_2"
"933000120138339","71812_5","71865_2"
"933000120138561","72411_1","72341_1"
"933000120138296","72243_3","72240_2"
"933000120117318","71838_3","71823_1"
"933000120138287","72266_2","72233_2"
"933000120124698","71772_3","71827_2"
"933000120138286","72220_3","72276_2"
"933000120117338","71820_3","71771_2"
"933000120138633","72377_2","72405_1"
"933000120138324","71799_3","71836_2"
"933000120117334","71794_3","71772_2"
"933000120117336","71830_2","71838_2"
"933000120138295","72266_2","72233_2"
"933000120138397","72391_2","72334_1"
"933000120138285","72258_2","72210_1"
"933000120117306","71838_3","71823_1"
"933000120117320","71836_3","71820_2"
"933000120138305","72243_3","72240_2"
"933000120138342","72245_3","72213_3"
"933000120138322","71834_3","71832_2"
"933000120124705","71820_3","71771_2"
"933000120138289","72258_2","72210_1"
"933000120138331","72245_3","72213_3"
"933000120117325","71836_3","71820_2"
"933000120117312","71838_3","71823_1"
"933000120138338","71804_3","71822_2"
"933000120138649","72407_2","72335_4"
"933000120138300","72213_4","72282_1"
"933000120117349","71824_3","71795_2"
"933000120124699","71829_3","71839_2"
"933000120117351","71839_3","71828_2"
"933000120138340","72244_3","72278_2"
"933000120138330","71799_3","71836_2"
"933000120138334","72244_3","72278_2"
"933000120117323","71836_3","71820_2"
"933000120138316","71834_3","71832_2"
"933000120138650","72380_2","72455_2"
"933000120138349","72257_2","72261_1"
"933000120138557","72334_2","72380_1"
"933000120138279","72257_2","72261_1"
"933000120124704","71772_3","71827_2"
"933000120138283","72266_2","72233_2"
"933000120117308","71804_3","71822_2"
"933000120117311","71799_3","71836_2"
"933000120138341","71804_3","71822_2"
"933000120117350","71794_3","71772_2"
"933000120138347","72257_2","72261_1"
"933000120117343","71819_3","71834_2"
"933000120117333","71823_2","71796_4"
"933000120138288","72258_2","72210_1"
"933000120138385","72393_2","72371_2"
"933000120138282","72213_4","72282_1"
"933000120117326","71806_5","71829_2"
"933000120117348","71823_2","71796_4"
"933000120138556","72333_2","72503_1"
"933000120138388","72391_2","72334_1"
"933000120117346","71829_3","71839_2"
"933000120138302","72243_3","72240_2"
"933000120138386","72336_2","72457_2"
"933000120124696","71772_3","71827_2"
"933000120117331","71819_3","71834_2"
"933000120117344","71839_3","71828_2"
"933000120138280","71829_3","71839_2"
"933000120117341","71837_3","71824_2"
"933000120138306","71834_3","71832_2"
"933000120117347","71824_3","71795_2"
"933000120138405","72387_2","72457_1"
"933000120138583","72341_1","72411_1"
"933000120138387","72387_2","72457_1"
"933000120138639","72405_2","72413_1"
"933000120138579","72411_1","72341_1"
"933000120138665","72525_2","72534_5"
"933000120138682","72541_5","72689_1"
"933000120138667","72386_2","72341_2"
"933000120138642","72503_2","72446_5"
"933000120138674","72476_1","72447_2"
"933000120138409","72624_2","72531_2"
"933000120138661","72525_2","72534_5"
"933000120138600","72529_1","72593_5"
"933000120138689","72541_5","72689_1"
"933000120138673","72632_2","72535_1"
"933000120138680","72525_2","72534_5"
"933000120138616","72690_2","72650_1"
"933000120138573","72334_2","72380_1"
"933000120138496","72384_2","72350_1"
"933000120138657","72447_1","72476_2"
"933000120138708","72395_2","72465_2"
"933000120138698","72593_6","72619_1"
"933000120138629","72624_2","72531_2"
"933000120138399","72448_2","72337_2"
"933000120138415","72595_5","72539_1"
"933000120138663","72371_2","72393_2"
"933000120138389","72397_2","72336_1"
"933000120138711","72536_4","72544_1"
"933000120138670","72447_1","72476_2"
"933000120138384","72338_2","72411_2"
"933000120138754","72669_2","72591_5"
"933000120138437","72342_2","72351_5"
"933000120138675","72476_1","72447_2"
"933000120138634","72377_2","72405_1"
"933000120138669","72530_2","72540_5"
"933000120138654","72407_2","72335_4"
"933000120138605","72529_1","72593_5"
"933000120138636","72503_2","72446_5"
"933000120138615","72619_2","72621_1"
"933000120138750","72669_2","72591_5"
"933000120138609","72619_2","72621_1"
"933000120138395","72336_2","72457_2"
"933000120138603","72543_6","72533_5"
"933000120138631","72405_2","72413_1"
"933000120138743","72669_2","72591_5"
"933000120138687","72526_2","72663_1"
"933000120138715","72536_4","72544_1"
"933000120138672","72525_2","72534_5"
"933000120138655","72503_2","72446_5"
"933000120138730","72536_4","72544_1"
"933000120138646","72407_2","72335_4"
"933000120138668","72457_2","72336_2"
"933000120138666","72447_1","72476_2"
"933000120138592","72531_1","72543_5"
"933000120138599","72660_2","72626_5"
"933000120138402","72391_1","72455_1"
"933000120138577","72333_2","72503_1"
"933000120138724","72386_1","72362_2"
"933000120138696","72593_6","72619_1"
"933000120138414","72626_6","72660_1"
"933000120138638","72414_1","72397_1"
"933000120138679","72319_1","72454_1"
"933000120138584","72333_1","72398_2"
"933000120138575","72464_1","72340_2"
"933000120138390","72448_2","72337_2"
"933000120138717","72395_2","72465_2"
"933000120138748","72539_2","72625_1"
"933000120138494","72384_2","72350_1"
"933000120138589","72621_2","72538_3"
"933000120138607","72619_2","72621_1"
"933000120138644","72405_2","72413_1"
"933000120138700","72541_5","72689_1"
"933000120138637","72407_2","72335_4"
"933000120138734","72669_2","72591_5"
"933000120138604","72531_1","72543_5"
"933000120138391","72391_1","72455_1"
"933000120138648","72503_2","72446_5"
"933000120138568","72409_1","72404_2"
"933000120138652","72414_1","72397_1"
"933000120138598","72527_2","72623_1"
"933000120138582","72660_2","72626_5"
"933000120138647","72414_1","72397_1"
"933000120138585","72543_6","72533_5"
"933000120138454","72632_2","72535_1"
"933000120138427","72454_1","72319_1"
"933000120138640","72380_2","72455_2"
"933000120138718","72536_4","72544_1"
"933000120138564","72337_2","72448_2"
"933000120138686","72593_6","72619_1"
"933000120138619","72624_2","72531_2"
"933000120138627","72690_2","72650_1"
"933000120138455","72342_2","72351_5"
"933000120138601","72409_2","72404_1"
"933000120138662","72476_1","72447_2"
"933000120138436","72632_2","72535_1"
"933000120138656","72319_1","72454_1"
"933000320046376","72794_2","72790_1"
"933000320045653","72936_2","72803_1"
"933000320046382","72292_1","73311_2"
"933000320047475","73437_1","73378_2"
"933000320045794","72907_2","72979_1"
"933000320047126","73207_2","73171_1"
"933000320045661","72795_2","72806_1"
"933000320047127","73169_2","73398_2"
"933000320047476","73511_1","73512_1"
"933000320045784","72907_2","72979_1"
"933000320047313","73195_2","73187_1"
"933000120138434","72350_2","72402_1"
"933000320045657","72936_2","72803_1"
"933000120138504","72384_2","72350_1"
"933000320045670","72799_2","72903_1"
"933000320047490","73511_1","73512_1"
"933000320045791","72789_2","72799_1"
"933000320045672","72936_2","72803_1"
"933000320046131","72292_1","73311_2"
"933000320045785","72907_2","72979_1"
"933000320046379","72793_4","72779_1"
"933000320045990","73020_2","72789_1"
