rfid,demux_reads,mapped_read_pairs,unmapped_reads_ratio,duplication_ratio,uniq_mapped_ratio,QC_reads,QC_sex,date,file_location,missing_rate,QC_missing,heterozygosity_rate,QC_heterozygosity,coatcolor,QC_coat_color_albino,QC_pass
00077E784F,4045896,3963945,0.0129424977804669,0.094519,0.825935095711803,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0503717,pass,0.311291206161811,pass,BROWN,pass,pass
00077E7AC5,4955775,4866408,0.0114243483612553,0.104095,0.808986889033501,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0491389,pass,0.31555266332747,pass,ALBINO,pass,pass
00077E7B77,4489327,4410559,0.0108715627086198,0.096046,0.799759852646065,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0484957,pass,0.320133765405521,pass,BLACK,pass,pass
00077E7C0F,2252393,2209849,0.0118636046196201,0.091652,0.818970756879461,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0610555,pass,0.327818814375031,pass,BROWN,pass,pass
00077E7C6D,5216465,5128246,0.0107400318031464,0.095589,0.807638889554516,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0469411,pass,0.306327805328772,pass,BLACK,pass,pass
00077E8288,2129809,2090405,0.0118517669894343,0.0938,0.79873829061667,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.058943,pass,0.316202131945768,pass,BROWN,pass,pass
00077E828B,4834899,4743939,0.011578318388864,0.094224,0.817330517142137,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0484171,pass,0.314478482262971,pass,ALBINO,pass,pass
00077E83F8,3518739,3454891,0.0113591829345683,0.095477,0.820568533216019,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0518971,pass,0.319006499459502,pass,ALBINO,pass,pass
00077E8410,2301232,2258517,0.0116511503403394,0.09325,0.805570450958443,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0600865,pass,0.312828089145947,pass,BLACK,pass,pass
00077E8481,4476238,4394181,0.0116752058313253,0.094365,0.820791923932552,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0502188,pass,0.302212088681288,pass,BROWN,pass,pass
00077E84C8,3475460,3416295,0.0106820392120755,0.093694,0.787924907781991,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0525314,pass,0.306878621488453,pass,BROWNHOOD,pass,pass
00077E84EF,2596796,2545405,0.0121744257153816,0.093325,0.822147176751659,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0568432,pass,0.290742621636007,pass,BLACKHOOD,pass,pass
00077E8978,2953547,2901930,0.0112994646775555,0.093275,0.786111918990962,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0556884,pass,0.322841584343428,pass,BROWN,pass,pass
