"dna_plate_code","plate_barcode","well","transponder","sample_id_barcode","user_id","date","nanodrop_ng_u_l","x260_280","x260_230","origin","no","storage_box_of_spleen","freezer_location_of_tissue","position_in_box","comments","riptide_plate_number","storage_box_of_extracted_dna_plate","location_of_extracted_dna_plate_box","e","x18","x20","x19","x21","x22","number_written_on_the_top_of_tube","rfid","project_name"
"Olivier01","C9H0UKO9","A1","933000120117306","120117306","HVB","2019-12-11","299.7","1.88","2.05","cohort 1","1","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A1","cocaine samples","Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117306","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","B1","933000120117332","120117332","HVB","2019-12-11","231.4","1.85","2.05","cohort 1","2","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A2",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117332","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","C1","NT","120117308","HVB","2019-12-11","189.3","1.85","1.75","cohort 1","3","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A3","no transponder","Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117308","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","D1","933000120117344","120117344","HVB","2019-12-11","272.1","1.86","2.2","cohort 1","4","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A4",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117344","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","E1","933000120117311","120117311","HVB","2019-12-11","362","1.87","2.12","cohort 1","5","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A5",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117311","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","F1","933000120117334","120117334","HVB","2019-12-11","378.7","1.87","2.15","cohort 1","6","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A6",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117334","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","G1","933000120124698","120124698","HVB","2019-12-11","259.2","1.85","1.89","cohort 1","7","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A7",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120124698","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","H1","933000120117347","120117347","HVB","2019-12-11","385.6","1.87","2.1","cohort 1","8","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","A8",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117347","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","A2","933000120117346","120117346","HVB","2019-12-11","385.9","1.85","2.13","cohort 1","9","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","B1",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117346","u01_olivier_george_cocaine"
"Olivier01","C9H0UKO9","B2","933000120117343","120117343","HVB","2019-12-11","953.6","1.92","2.31","cohort 1","10","Olivier Box 1- processed","-80C  #3 Shelf 5 Rack1","B2",NA,"Riptide01","EX-riptide-01","-20C #2 Shelf 3 Right Side",NA,NA,NA,NA,NA,NA,NA,"933000120117343","u01_olivier_george_cocaine"
