"id","sex","sire","dam"
"HSM0001","M",NA,NA
"HSM0002","M",NA,NA
"HSM0002B","M",NA,NA
"HSM0003","M",NA,NA
"HSM0004","M",NA,NA
"HSM0005","M",NA,NA
"HSM0006","M",NA,NA
"HSM0007","M",NA,NA
"HSM0008","M",NA,NA
"HSM0009","M",NA,NA
"HSM0010","M",NA,NA
"HSM0011","M",NA,NA
"HSM0012","M",NA,NA
"HSM0013","M",NA,NA
"HSM0014","M",NA,NA
"HSM0015","M",NA,NA
"HSM0016","M",NA,NA
"HSM0016B","M",NA,NA
"HSM0017","M",NA,NA
"HSM0018","M",NA,NA
"HSM0019","M",NA,NA
"HSM0020","M",NA,NA
"HSM0021","M",NA,NA
"HSM0022","M",NA,NA
"HSM0023","M",NA,NA
"HSM0024","M",NA,NA
"HSM0025","M",NA,NA
"HSM0026","M",NA,NA
"HSM0027","M",NA,NA
"HSM0028","M",NA,NA
"HSM0029","M",NA,NA
"HSM0031","M",NA,NA
"HSM0032","M",NA,NA
"HSM0033","M",NA,NA
"HSM0034","M",NA,NA
"HSM0035","M",NA,NA
"HSM0037","M",NA,NA
"HSM0038","M",NA,NA
"HSM0039","M",NA,NA
"HSM0040","M",NA,NA
"HSM0042","M",NA,NA
"HSM0044","M",NA,NA
"HSM0045","M",NA,NA
"HSM0046","M",NA,NA
"HSM0047","M",NA,NA
"HSM0048","M",NA,NA
"HSM0049","M",NA,NA
"HSM0050","M",NA,NA
"HSM0051","M",NA,NA
"HSM0052","M",NA,NA
"HSM0053","M",NA,NA
"HSM0054","M",NA,NA
"HSM0055","M",NA,NA
"HSM0056","M",NA,NA
"HSF0001","F",NA,NA
"HSF0002","F",NA,NA
"HSF0003","F",NA,NA
"HSF0004","F",NA,NA
"HSF0005","F",NA,NA
"HSF0006","F",NA,NA
"HSF0007","F",NA,NA
"HSF0008","F",NA,NA
"HSF0009","F",NA,NA
"HSF0010","F",NA,NA
"HSF0011","F",NA,NA
"HSF0012","F",NA,NA
"HSF0013","F",NA,NA
"HSF0014","F",NA,NA
"HSF0015","F",NA,NA
"HSF0017","F",NA,NA
"HSF0018","F",NA,NA
"HSF0019","F",NA,NA
"HSF0020","F",NA,NA
"HSF0021","F",NA,NA
"HSF0022","F",NA,NA
"HSF0023","F",NA,NA
"HSF0024","F",NA,NA
"HSF0025","F",NA,NA
"HSF0026","F",NA,NA
"HSF0027","F",NA,NA
