"","id_f51","cc","sex","fam_no","dob","home_cage","sire_id","dam_id","transpondernumber","sw_id","generation","ear_punch","sire_sw_id","dam_sw_id"
"1","41452_1",NA,"M",NA,"38613",NA,NA,NA,"0006717C0F","HSM0001","0",NA,NA,NA
"2","44711_1","BLACK","M",NA,"38681",NA,NA,NA,"0006717CB5","HSM0002","0",NA,NA,NA
"3","44711_2","BLACK AND WHITE","M",NA,"38681",NA,NA,NA,"000673178C","HSM0002B","0","RLT",NA,NA
"4","41459_1",NA,"M",NA,"38627",NA,NA,NA,"000672F96F","HSM0003","0",NA,NA,NA
"5","41458_1",NA,"M",NA,"38622",NA,NA,NA,"6732661","HSM0004","0",NA,NA,NA
"6","41456_1",NA,"M",NA,"38622",NA,NA,NA,"000671463F","HSM0005","0",NA,NA,NA
"7","41447_1",NA,"M",NA,"38614",NA,NA,NA,"6717886","HSM0006","0",NA,NA,NA
"8","41454_1",NA,"M",NA,"38613",NA,NA,NA,"6732760","HSM0007","0",NA,NA,NA
"9","41461_1",NA,"M",NA,"38646",NA,NA,NA,"000673080C","HSM0008","0",NA,NA,NA
"10","41457_1",NA,"M",NA,"38622",NA,NA,NA,"00067153D7","HSM0009","0",NA,NA,NA
"11","41455_1",NA,"M",NA,"38614",NA,NA,NA,"0006716AA7","HSM0010","0",NA,NA,NA
"12","41428_1",NA,"M",NA,"38614",NA,NA,NA,"000672FBBC","HSM0011","0",NA,NA,NA
"13","41451_1",NA,"M",NA,"38614",NA,NA,NA,"6715971","HSM0012","0",NA,NA,NA
"14","41449_1",NA,"M",NA,"38614",NA,NA,NA,"6.72E+81","HSM0013","0",NA,NA,NA
"15","41460_1",NA,"M",NA,"38633",NA,NA,NA,"00067168DF","HSM0014","0",NA,NA,NA
"16","41446_1",NA,"M",NA,"38614",NA,NA,NA,"0006714C7C","HSM0015","0",NA,NA,NA
"17","41445_1",NA,"M",NA,"38614",NA,NA,NA,"000671695D","HSM0016","0",NA,NA,NA
"18","41445_2",NA,"M",NA,"38614",NA,NA,NA,"000672F4F3","HSM0016B","0",NA,NA,NA
"19","41464_1",NA,"M",NA,"38653",NA,NA,NA,"6731280","HSM0017","0",NA,NA,NA
