"rfid","sex","coatcolor","project_name","organism","strain","comments"
"1DCD6571","M","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6575","M","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65A2","M","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65C1","M","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65AD","M","BROWN","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD658A","M","BLACK","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65A4","M","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65B4","M","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65B6","M","BLACK","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65A6","M","BLACK","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65B7","M","BROWN","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65AA","M","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65B3","M","BLACK","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6574","M","ALBINO","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6565","M","BLACK","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6545","F","ALBINO","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6550","F","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD651A","F","BLACK","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6559","F","ALBINO","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6523","F","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD653D","F","BROWN","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6512","F","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6517","F","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6526","F","ALBINO","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD655A","F","ALBINO","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6528","F","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6585","F","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6573","F","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65A7","F","BROWN","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD656C","F","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD658F","F","BROWN","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6579","F","BLACKHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD65B5","F","BROWNHOOD","p50_paul_meyer_2020","rat","Heterogenous stock","NA"
"1DCD6E0A","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E06","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E01","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E03","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DEB","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE8","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E02","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE5","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DDE","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E26","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E23","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF5","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DED","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E07","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DDB","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DFF","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E00","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DFB","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E1A","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E35","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DDF","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E3B","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E2A","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E1B","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E29","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E11","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E31","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E19","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E28","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"00077E784F","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E7AC5","M","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E7B77","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E7C0F","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E7C6D","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8288","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E828B","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E83F8","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8410","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8481","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E84C8","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E84EF","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8978","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E89DE","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8A7D","M","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8AE2","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8B25","M","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8BA6","M","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8C05","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E8DB1","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
