"rfid","sex","coatcolor"
"1DCD655F","M","BLACKHOOD"
"1DCD655C","M","BROWNHOOD"
"1DCD6541","M","ALBINO"
"1DCD652E","M","BLACKHOOD"
"1DCD6546","M","BROWNHOOD"
"1DCD653A","M","ALBINO"
"1DCD6538","M","BLACKHOOD"
"1DCD653B","M","BLACKHOOD"
"1DCD6524","M","BLACK"
"1DCD652C","M","ALBINO"
"1DCD6509","M","BLACKHOOD"
"1DCD6558","M","BROWN"
"1DCD655B","M","BROWN"
"1DCD6505","M","ALBINO"
"1DCD655E","M","ALBINO"
"1DCD650F","M","BROWN"
"1DCD6506","M","BLACKHOOD"
"1DCD6537","M","ALBINO"
"1DCD6534","M","BLACKHOOD"
"1DCD6547","M","BLACK"
"1DCD6561","M","ALBINO"
"1DCD651C","M","BROWNHOOD"
"1DCD6544","M","BROWNHOOD"
"1DCD652A","M","ALBINO"
"1DCD6532","M","BLACK"
"1DCD6519","M","ALBINO"
"1DCD6508","M","BROWNHOOD"
"1DCD650E","M","ALBINO"
"1DCD6518","M","BLACKHOOD"
"1DCD6553","M","BROWN"
"1DCD6552","M","BROWN"
"1DCD655D","M","BROWNHOOD"
"1DCD6516","M","BLACKHOOD"
"1DCD654F","M","BROWNHOOD"
"1DCD6511","M","ALBINO"
"1DCD6563","M","BLACK"
"1DCD654A","F","BLACK"
"1DCD6535","F","BLACKHOOD"
"1DCD654E","F","BROWNHOOD"
"1DCD6521","F","ALBINO"
"1DCD6555","F","BROWN"
"1DCD6560","F","BLACKHOOD"
"1DCD6501","F","BLACKHOOD"
"1DCD6530","F","BROWN"
"1DCD651F","F","BLACK"
"1DCD6504","F","BLACK"
"1DCD650D","F","BLACK"
"1DCD6510","F","BLACKHOOD"
"1DCD651D","F","BROWNHOOD"
"1DCD6554","F","ALBINO"
"1DCD653F","F","BROWNHOOD"
"1DCD652F","F","BROWN"
"1DCD6556","F","BLACKHOOD"
"1DCD6536","F","ALBINO"
"1DCD650C","F","BROWNHOOD"
"1DCD6540","F","BLACK"
"1DCD6542","F","BLACK"
"1DCD6531","F","BROWN"
"1DCD6515","F","BROWNHOOD"
"1DCD6551","F","ALBINO"
"1DCD6557","F","BLACK"
"1DCD6503","F","ALBINO"
"1DCD6500","F","BROWN"
"1DCD6533","F","ALBINO"
"1DCD654D","F","BROWN"
"1DCD6527","F","BROWNHOOD"
"1DCD651E","F","BLACK"
"1DCD650B","F","BROWNHOOD"
"1DCD652B","F","BLACK"
"1DCD6529","F","BLACKHOOD"
"1DCD6525","F","ALBINO"
"1DCD651B","F","BROWNHOOD"
"1DCD6520","M","BROWN"
"1DCD654C","M","BROWN"
"1DCD653C","M","BLACKHOOD"
"1DCD6507","M","BROWNHOOD"
"1DCD654B","M","ALBINO"
"1DCD652D","M","BROWN"
"1DCD650A","M","BROWNHOOD"
"1DCD6522","M","BLACKHOOD"
"1DCD6539","M","ALBINO"
"1DCD6502","M","ALBINO"
"1DCD6513","M","BLACK"
"1DCD6543","M","BROWNHOOD"
"1DCD65A5","M","BLACKHOOD"
"1DCD65B0","M","BROWN"
"1DCD659E","M","BROWN"
"1DCD65AF","M","BLACKHOOD"
"1DCD65A8","M","ALBINO"
"1DCD659A","M","BROWNHOOD"
"1DCD6598","M","BLACK"
"1DCD65B9","M","ALBINO"
"1DCD6578","M","BROWN"
"1DCD6566","M","ALBINO"
"1DCD6595","M","BLACK"
"1DCD6596","M","BLACKHOOD"
"1DCD65C4","M","BLACK"
"1DCD656D","M","BLACKHOOD"
"1DCD65A9","M","BLACKHOOD"
"1DCD656B","M","ALBINO"
"1DCD6589","M","BLACK"
"1DCD657B","M","BLACKHOOD"
"1DCD657F","M","ALBINO"
"1DCD6571","M","BROWNHOOD"
"1DCD6575","M","BROWNHOOD"
"1DCD65A2","M","BLACKHOOD"
"1DCD65C1","M","BROWNHOOD"
"1DCD65AD","M","BROWN"
"1DCD658A","M","BLACK"
"1DCD65A4","M","BROWNHOOD"
"1DCD65B4","M","BROWNHOOD"
"1DCD65B6","M","BLACK"
"1DCD65A6","M","BLACK"
"1DCD65B7","M","BROWN"
"1DCD65AA","M","BROWNHOOD"
"1DCD65B3","M","BLACK"
"1DCD6574","M","ALBINO"
"1DCD6565","M","BLACK"
"1DCD6545","F","ALBINO"
"1DCD6550","F","BLACKHOOD"
"1DCD651A","F","BLACK"
"1DCD6559","F","ALBINO"
"1DCD6523","F","BLACKHOOD"
"1DCD653D","F","BROWN"
"1DCD6512","F","BROWNHOOD"
"1DCD6517","F","BLACKHOOD"
"1DCD6526","F","ALBINO"
"1DCD655A","F","ALBINO"
"1DCD6528","F","BLACKHOOD"
"1DCD6585","F","BROWNHOOD"
"1DCD6573","F","BLACKHOOD"
"1DCD65A7","F","BROWN"
"1DCD656C","F","BROWNHOOD"
"1DCD658F","F","BROWN"
"1DCD6579","F","BLACKHOOD"
"1DCD65B5","F","BROWNHOOD"
"1DCD65BF","F","BROWN"
"1DCD6583","F","ALBINO"
"1DCD6564","F","BLACK"
"1DCD6594","F","ALBINO"
"1DCD65BC","F","BLACK"
"1DCD6588","F","BLACKHOOD"
"1DCD659C","F","BROWNHOOD"
"1DCD658B","F","BLACK"
"1DCD658D","F","BROWNHOOD"
"1DCD657E","F","ALBINO"
"1DCD659D","F","ALBINO"
"1DCD65B1","F","BLACK"
"1DCD65A1","F","ALBINO"
"1DCD65BE","F","BROWN"
"1DCD656A","F","BLACK"
"1DCD6582","F","BROWNHOOD"
"1DCD656F","F","BLACKHOOD"
"1DCD6584","F","BLACK"
"1DCD656E","F","BLACK"
"1DCD65C2","F","BROWNHOOD"
"1DCD65C3","F","BLACKHOOD"
"1DCD6590","F","BLACK"
"1DCD658C","F","BLACK"
"1DCD659F","F","BROWN"
"1DCD658E","F","BLACK"
"1DCD6592","F","ALBINO"
"1DCD6587","F","BROWNHOOD"
"1DCD65BA","F","BROWN"
"1DCD6E0A","M","BROWN"
"1DCD6E06","M","BROWN"
"1DCD6E01","M","ALBINO"
"1DCD6E03","M","BLACK"
"1DCD6DEB","M","BROWN"
"1DCD6DE8","M","BLACK"
"1DCD6E02","M","ALBINO"
"1DCD6DE5","M","BLACK"
"1DCD6DDE","M","BROWNHOOD"
"1DCD6E26","M","ALBINO"
"1DCD6E23","M","BLACKHOOD"
"1DCD6DF5","M","BROWN"
"1DCD6DED","M","BROWN"
"1DCD6E07","M","BROWNHOOD"
"1DCD6DDB","M","BLACK"
"1DCD6DFF","F","BROWN"
"1DCD6E00","F","ALBINO"
"1DCD6DFB","F","BROWN"
"1DCD6E1A","F","ALBINO"
"1DCD6E35","F","BROWNHOOD"
"1DCD6DDF","F","BLACK"
"1DCD6E3B","F","BROWNHOOD"
"1DCD6E2A","F","BLACK"
"1DCD6E1B","F","BROWN"
"1DCD6E29","F","BROWNHOOD"
"1DCD6E11","F","BLACKHOOD"
"1DCD6E31","F","BROWN"
"1DCD6E19","F","BROWN"
"1DCD6E28","F","BLACKHOOD"
"1DCD6E13","F","ALBINO"
"3B9ACFD0","M","BROWN"
"3B9ACF8B","M","BLACKHOOD"
"3B9ACFD6","M","BLACKHOOD"
"3B9ACFCB","M","BROWN"
"3B9ACF9F","M","ALBINO"
"3B9ACFB0","M","BLACKHOOD"
"3B9ACFA6","M","BLACK"
"3B9ACFCE","M","BROWNHOOD"
"3B9ACFC5","M","BROWN"
"3B9ACF81","M","BLACK"
"3B9ACFB9","F","BLACKHOOD"
"3B9ACFBF","F","BLACK"
"3B9ACFAC","F","BROWN"
"3B9ACFCD","F","BROWN"
"3B9ACFC0","F","BLACKHOOD"
"3B9ACFB1","F","BLACK"
"3B9ACF92","F","BROWNHOOD"
"3B9ACFC6","F","BROWNHOOD"
"3B9ACFA2","F","BROWN"
"3B9ACFD5","F","BROWNHOOD"
"1DCD6E05","M","BLACK"
"1DCD6DD8","M","BLACKHOOD"
"1DCD6E0E","M","BLACKHOOD"
"1DCD6DF1","M","BROWN"
"1DCD6DFE","M","BLACK"
"1DCD6DF4","M","BLACKHOOD"
"1DCD6E2E","M","BROWNHOOD"
"1DCD6E24","M","ALBINO"
"1DCD6E32","M","ALBINO"
"1DCD6E12","M","BROWNHOOD"
"1DCD6E09","M","BLACK"
"1DCD6E3A","M","BROWNHOOD"
"1DCD6E1E","M","BROWN"
"1DCD6DE2","M","BROWNHOOD"
"1DCD6E30","M","BLACK"
"1DCD6E36","M","ALBINO"
"1DCD6E0F","M","ALBINO"
"1DCD6E22","M","BROWN"
"1DCD6DE6","M","ALBINO"
"1DCD6DEC","M","BROWNHOOD"
"1DCD6DFD","M","BLACK"
"1DCD6E21","M","ALBINO"
"1DCD6DF0","M","BLACKHOOD"
"1DCD6E04","M","ALBINO"
"1DCD6E18","M","BLACK"
"1DCD6DEE","F","ALBINO"
"1DCD6DDD","F","BLACKHOOD"
"1DCD6E38","F","ALBINO"
"1DCD6DF8","F","BLACK"
"1DCD6E1D","F","BLACK"
"1DCD6DD9","F","ALBINO"
"1DCD6DE3","F","BROWNHOOD"
"1DCD6DF3","F","ALBINO"
"1DCD6E08","F","ALBINO"
"1DCD6DFC","F","BROWN"
"1DCD6E1C","F","BLACK"
"1DCD6E0D","F","BROWNHOOD"
"1DCD6E37","F","ALBINO"
"1DCD6E15","F","BROWNHOOD"
"1DCD6DDC","F","BLACKHOOD"
"1DCD6E2C","F","ALBINO"
"1DCD6DE1","F","ALBINO"
"1DCD6E16","F","BLACK"
"1DCD6DF7","F","BROWN"
"1DCD6E39","F","BROWNHOOD"
"1DCD6DEA","F","BLACK"
"1DCD6DE0","F","ALBINO"
"1DCD6DE9","F","BROWNHOOD"
"1DCD6DF6","F","BLACKHOOD"
"1DCD6DDA","F","ALBINO"
"00077E784F","F","BROWN"
"00077E7AC5","M","ALBINO"
"00077E7B77","M","BLACK"
"00077E7C0F","M","BROWN"
"00077E7C6D","M","BLACK"
"00077E8288","M","BROWN"
"00077E828B","F","ALBINO"
"00077E83F8","F","ALBINO"
"00077E8410","M","BLACK"
"00077E8481","M","BROWN"
"00077E84C8","M","BROWNHOOD"
