"rfid","project_name","date","library","QC_pass","location_on_tscc","user","library_name","date_samples_submitted","date_sequenced","date_data_returned","run_id_number","type_of_run","type_of_lib_prep","number_of_pools","lane_number_s","project","for_palmer_lab_member","ave_number_of_reads_lane_m","full_run_id","notes","igm_billed_yet","project_details","sequencing_facility_name","sex","coatcolor","organism","strain","comments"
"104","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"109","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"113","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"115","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"120","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"122","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"124","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"127","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"130","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"131","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"132","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"133","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"137","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"139","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"142","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"145","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"147","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"149","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"151","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"161","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","M",NA,"rat",NA,NA
"164","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
"167","u01_huda_akil",NA,"UMich2redo",NA,"/projects/ps-palmer/rcheng/wgs/coreC/vcfs/ZF","Riyan","UMich02",2020-01-16,2020-02-21,2020-02-28,"0069","NovaSeq S4","WGS",1,NA,"UMich2-8, zebrafish, Riptide01-03 (NovaSeq01)","Hannah",NA,"200221_A00953_0069_BH5T5LDSXY","960 samples for NovaSeq (they will do a MiSeq nano test run first)","yes","NovaSeq01","IGM","F",NA,"rat",NA,NA
