"rfid","sex","coatcolor","project_name","organism","strain","comments","pcr_barcode","barcode","library","flag","date","QC_pass","location_on_tscc","user"
"1","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
