Library_ID	ID	ID2
00077E82F7_TWAS_1	00077E82F7	00077E82F7
00077E8E43_TWAS_2	00077E8E43	00077E8E43
00077E90D8_TWAS_3	00077E90D8	00077E90D8
00078A0057_TWAS_4	00078A0057	00078A0057
00078A2478_TWAS_5	00078A2478	00078A2478
00078A097C_TWAS_6	00078A097C	00078A097C
00077E8CCF_TWAS_7	00077E8CCF	00077E8CCF
00078A072C_TWAS_8	00078A072C	00078A072C
00078A17A8_TWAS_9	00078A17A8	00078A17A8
00078A0031_TWAS_10	00078A0031	00078A0031
00078A1C54_TWAS_11	00078A1C54	00078A1C54
00077E8223_TWAS_12	00077E8223	00077E8223
00078A19AE_TWAS_13	00078A19AE	00078A19AE
00078A0222_TWAS_14	00078A0222	00078A0222
00078A1936_TWAS_15	00078A1936	00078A1936
00077E669E_TWAS_16	00077E669E	00077E669E
00077E7666_TWAS_17	00077E7666	00077E7666
00077E8653_TWAS_18	00077E8653	00077E8653
00077E83E3_TWAS_19	00077E83E3	00077E83E3
00077E7819_TWAS_20	00077E7819	00077E7819
00077E8EB8_TWAS_21	00077E8EB8	00077E8EB8
00078A233D_TWAS_22	00078A233D	00078A233D
00077E7879_TWAS_23	00077E7879	00077E7879
00078A020C_TWAS_24	00078A020C	00078A020C
00077E76EB_TWAS_25	00077E76EB	00077E76EB
00078A0841_TWAS_26	00078A0841	00078A0841
00077EAD3C_TWAS_27	00077EAD3C	00077EAD3C
00077EA94E_TWAS_28	00077EA94E	00077EA94E
00078A02C3_TWAS_29	00078A02C3	00078A02C3
00078A2648_TWAS_30	00078A2648	00078A2648
00078A0039_TWAS_32	00078A0039	00078A0039
00078A25CF_TWAS_33	00078A25CF	00078A25CF
00078A17AE_TWAS_34	00078A17AE	00078A17AE
00078A17A5_TWAS_35	00078A17A5	00078A17A5
00078A1A59_TWAS_36	00078A1A59	00078A1A59
00077E9063_TWAS_37	00077E9063	00077E9063
000792A38F_TWAS_38	000792A38F	000792A38F
000792A1A5_TWAS_40	000792A1A5	000792A1A5
